Nome;Idade (dias);PRs;Releases;Última Atualização (dias);Linguagem;Fechamento de Issues (%)
lottie-android;3060;702;55;0;Java;98.63%
nativefier;3520;261;99;0;TypeScript;79.32%
fiber;1864;1559;124;0;Go;93.54%
upscayl;938;83;29;0;TypeScript;93.95%
logseq;1736;2984;147;0;Clojure;81.94%
Awesome-Design-Tools;2202;283;0;0;JavaScript;60.98%
slidev;1400;654;381;0;TypeScript;92.40%
955.WLB;2158;18;0;0;N/A;31.30%
lapce;2573;1159;31;0;Rust;59.91%
hackathon-starter;4119;326;16;0;JavaScript;98.64%
Pake;862;95;31;0;Rust;90.60%
google-research;2333;29;0;0;Jupyter Notebook;26.09%
awesome-react-native;3621;912;0;0;JavaScript;48.61%
carbon;2808;669;215;0;JavaScript;92.48%
typeorm;3281;2026;32;0;TypeScript;70.91%
chatgpt-on-wechat;930;245;61;0;Python;85.29%
metasploit-framework;4925;10936;0;0;Ruby;93.18%
cli;4746;406;47;0;Python;81.50%
halo;2530;2413;208;0;Java;91.62%
ToolJet;1425;5556;283;0;JavaScript;85.77%
glide;4246;544;47;0;Java;87.87%
compose;4093;3281;247;0;Go;98.88%
the-way-to-go_ZH_CN;4353;592;0;0;Go;N/A
ccxt;2841;12530;137;0;Python;91.35%
ChatTTS;271;210;5;0;Python;89.33%
system-design;922;11;0;0;N/A;95.24%
vim-plug;4183;176;8;0;Vim Script;93.28%
TaskMatrix;723;21;0;0;Python;38.20%
HanLP;3789;79;62;0;Python;99.44%
node-v0.x-archive;5750;218;0;0;N/A;100.00%
caffe;4181;1087;14;0;C++;81.25%
cal.com;1433;8912;389;0;TypeScript;87.65%
formik;2810;829;196;0;TypeScript;69.06%
clipboard.js;3444;117;42;0;JavaScript;98.40%
12306;2838;31;1;0;Python;67.44%
awesome-javascript;3889;387;0;0;N/A;95.60%
nushell;2115;7316;104;0;Rust;76.38%
gold-miner;3398;3563;0;0;N/A;99.91%
spacedrive;1244;1880;25;0;TypeScript;77.71%
marked;4962;1489;146;0;TypeScript;98.98%
REKCARC-TSC-UHT;2150;160;0;0;HTML;96.77%
netty;5219;3938;0;0;Java;91.13%
awesome-shell;3883;307;0;0;N/A;38.60%
jieba;4529;96;9;0;Python;26.61%
react-beautiful-dnd;2754;530;68;0;JavaScript;64.72%
Langchain-Chatchat;694;616;31;0;TypeScript;94.76%
shadowsocks;4691;70;2;1;Python;N/A
AndroidUtilCode;3129;88;117;0;Java;80.89%
spring-boot-demo;2661;15;0;0;Java;43.20%
sqlmap;4624;169;10;0;Python;99.05%
AFNetworking;5015;710;40;0;Objective-C;N/A
LeetCode-Go;2776;178;4;0;Go;79.75%
pytorch-image-models;2212;439;64;0;Python;94.97%
brackets;4825;4332;69;0;JavaScript;72.97%
node;284;28;2;0;Shell;64.29%
XX-Net;3691;362;388;0;Python;40.66%
framework;4425;15961;801;0;PHP;99.90%
faiss;2937;137;18;0;C++;91.26%
windows;405;329;81;0;Shell;86.26%
docs;291;278;0;0;MDX;48.15%
husky;3897;262;80;0;JavaScript;94.58%
easyexcel;2573;190;14;0;Java;87.05%
gulp;4251;405;23;0;JavaScript;98.55%
fastify;3069;2939;290;0;JavaScript;97.01%
zxing;4882;317;31;0;Java;99.46%
leetcode;2351;3679;21;0;Java;96.00%
solid;2496;370;35;0;TypeScript;90.66%
immutable-js;3888;534;85;0;TypeScript;91.76%
ink-kit;110;84;0;0;TypeScript;0.00%
NewPipe;3459;1606;135;0;Java;87.34%
Coursera-ML-AndrewNg-Notes;2667;13;0;0;HTML;22.06%
AgentGPT;687;539;12;0;TypeScript;73.10%
JavaScript;2781;795;0;0;JavaScript;96.55%
linux-command;3024;345;30;0;Markdown;63.40%
ijkplayer;4282;35;0;0;C;47.38%
payload;1509;4826;486;0;TypeScript;91.88%
carbon-lang;1761;3569;230;0;C++;81.89%
ShadowsocksX-NG;3179;64;30;0;Swift;77.29%
poetry;2551;2268;139;0;Python;92.43%
milvus;1986;21119;107;0;Go;95.13%
Python;4833;1631;0;0;Python;31.75%
engineering-blogs;3542;681;0;0;Ruby;77.08%
legado;2103;1074;115;0;Kotlin;97.27%
plane;826;4968;39;0;TypeScript;62.63%
harness;4033;1042;50;0;Go;96.43%
awesome-awesomeness;3882;197;0;0;Ruby;76.47%
gpt-pilot;556;395;0;0;Python;55.33%
material-design-lite;3691;655;14;0;HTML;82.78%
zsh-autosuggestions;4137;114;0;0;Shell;75.12%
portainer;3201;4777;137;0;TypeScript;90.63%
polars;1746;10352;202;0;Rust;78.10%
How-To-Ask-Questions-The-Smart-Way;3619;98;0;0;JavaScript;74.07%
certbot;3755;3872;56;0;Python;97.47%
openpose;2861;174;15;0;C++;83.74%
run;1049;172;0;0;N/A;83.53%
LLM101n;271;0;0;0;N/A;N/A
HEU_KMS_Activator;2071;0;40;0;N/A;15.53%
beego;4742;1309;38;0;Go;99.82%
chatgpt-web;744;159;43;0;Vue;100.00%
vault;3650;19899;156;0;Go;82.81%
my-tv;446;11;72;0;C;84.87%
chatbox;719;53;47;0;TypeScript;71.72%
swc;2619;5067;623;0;Rust;89.38%
shardeum;311;176;0;0;TypeScript;63.89%
mattermost;3540;18016;716;0;TypeScript;92.66%
android-open-project;4066;204;0;0;N/A;87.06%
selenium;4421;2562;102;0;Java;98.72%
modern-unix;1502;15;0;0;N/A;37.04%
AnotherRedisDesktopManager;2237;149;53;0;JavaScript;88.16%
RevokeMsgPatcher;2043;10;20;0;C#;91.03%
ControlNet;752;5;0;0;Python;24.47%
unsloth;451;294;11;0;Python;46.86%
jax;2311;12109;118;0;Python;74.89%
graphql-engine;2441;2110;280;0;TypeScript;64.48%
awesome-php;4106;444;0;0;N/A;98.68%
awesome-docker;3807;929;1;0;N/A;98.45%
bruno;878;923;124;0;JavaScript;53.44%
crawl4ai;289;46;0;0;Python;87.13%
nps;2302;74;59;0;Go;58.52%
detectron2;1996;0;10;0;Python;87.16%
C-Plus-Plus;3143;667;0;0;C++;97.44%
yew;2625;1732;35;0;Rust;90.17%
jq;4602;578;13;0;C;83.73%
learnGitBranching;4575;588;0;0;JavaScript;91.65%
serenity;2274;19178;0;0;C++;83.04%
swr;1944;781;118;0;TypeScript;86.32%
browser-use;114;251;36;0;Python;35.18%
rxjs;3632;2588;2;0;TypeScript;93.06%
fairseq;2734;233;16;0;Python;72.41%
vimrc;4652;107;0;0;Vim Script;98.84%
OpenVoice;451;17;0;0;Python;20.07%
llvm-project;2999;38102;123;0;LLVM;69.23%
html2canvas;4970;186;45;0;TypeScript;63.71%
remote-jobs;3420;1250;0;0;JavaScript;88.83%
spaCy;3887;3581;127;0;Python;97.20%
MS-DOS;2434;37;0;0;Assembly;N/A
HowToLiveLonger;1043;13;0;0;N/A;79.84%
jQuery-File-Upload;5197;119;0;0;PHP;98.52%
ShareX;4154;744;80;0;C#;91.13%
lottie-web;3654;136;0;0;JavaScript;73.65%
Blog;2903;3;0;0;N/A;30.21%
nacos;2444;2946;76;0;Java;97.33%
pnpm;3313;2429;983;0;TypeScript;62.14%
aseprite;3839;347;114;0;C++;58.51%
pytorch-tutorial;2906;28;0;0;Python;63.13%
remix;1580;3364;155;0;TypeScript;89.34%
cline;231;138;49;0;TypeScript;62.39%
floating-ui;3252;1111;467;0;TypeScript;97.74%
etcher;3406;1726;284;0;TypeScript;78.52%
dotfiles;4919;44;0;0;Shell;63.27%
outline;3197;2647;141;0;TypeScript;96.59%
LocalAI;706;3071;69;0;Go;57.17%
WxJava;3335;988;30;0;Java;98.59%
p3c;2801;62;0;0;Kotlin;81.35%
cockroach;4034;63142;0;0;Go;91.63%
libpku;2284;22;0;0;TeX;75.61%
echo;3646;586;108;0;Go;96.24%
v2ray-core;2140;866;100;0;Go;96.62%
union;647;1924;76;0;Rust;85.14%
slate;3171;1878;186;0;TypeScript;79.28%
spring-boot-examples;3031;7;0;0;Java;91.67%
YesPlayMusic;1597;283;31;0;Vue;66.67%
linux-insides;3703;577;0;0;Python;82.16%
lede;2726;1988;6;0;C;91.68%
CyberChef;3008;476;447;0;JavaScript;59.66%
rufus;4844;1;81;0;C;99.67%
mmdetection;2376;2359;53;0;Python;79.85%
NeteaseCloudMusicApi;3167;292;0;0;N/A;89.01%
full-stack-fastapi-template;2191;376;10;0;TypeScript;61.19%
winutil;1031;762;17;0;PowerShell;89.08%
chatbot-ui;714;281;0;0;TypeScript;83.66%
Sortable;4083;246;30;0;JavaScript;74.56%
calculator;2217;883;0;0;C++;66.26%
symfony;5528;23430;537;0;PHP;97.47%
manim;1740;1832;29;0;Python;74.03%
HEAD;3230;86;0;0;N/A;78.49%
awesome-cto;2990;12;0;0;N/A;81.82%
qBittorrent;4767;3723;0;0;C++;82.99%
layui;3441;534;136;0;JavaScript;96.13%
refine;1494;4313;1000;0;TypeScript;98.42%
bulletproof-react;1364;69;0;0;TypeScript;71.03%
webtorrent;4148;933;210;0;JavaScript;96.00%
minikube;3234;8406;150;0;Go;94.87%
tabby;709;2672;191;0;Rust;80.65%
go-zero;1660;2171;125;0;Go;87.51%
dokku;4277;3923;294;0;Shell;98.30%
interactive-coding-challenges;3587;176;0;0;Python;47.06%
sharp;4205;288;88;0;JavaScript;96.72%
stanford_alpaca;714;6;0;0;Python;36.16%
jsPDF;5557;713;34;0;JavaScript;95.44%
sequelize;5329;4840;484;0;TypeScript;91.67%
vue-cli;3345;1258;177;0;JavaScript;82.99%
mpv;4515;3264;86;0;C;91.77%
Real-ESRGAN;1314;21;10;0;Python;24.14%
foundation-sites;4880;2958;79;0;HTML;99.40%
Reactive-Resume;1795;633;95;0;TypeScript;85.56%
Umi-OCR;1062;45;30;0;Python;73.30%
lossless-cut;3037;192;99;0;TypeScript;88.53%
fabric.js;5371;2223;165;0;JavaScript;93.47%
bubbletea;1869;572;55;0;Go;79.51%
siyuan;1637;403;742;0;TypeScript;97.52%
AI-Expert-Roadmap;1581;13;0;0;JavaScript;70.77%
editor.js;3373;860;100;0;TypeScript;61.14%
leakcanary;3586;919;43;0;Kotlin;93.91%
influxdb;4167;10266;87;0;Rust;85.30%
hutool;3968;421;149;0;Java;99.90%
project-guidelines;2794;114;0;0;JavaScript;76.32%
uppy;3386;2960;132;0;TypeScript;93.99%
react-boilerplate;3657;715;16;0;JavaScript;95.64%
kafka;4940;10700;0;0;Java;N/A
phantomjs;5171;562;0;1;C++;99.70%
fabric;415;255;92;0;Go;70.19%
netron;5172;1;3;0;JavaScript;98.21%
stats;2096;400;284;0;Swift;98.96%
500lines;4128;175;0;0;JavaScript;55.71%
OpenAPI-Specification;4009;1255;12;0;Markdown;92.54%
backstage;1855;17729;406;0;TypeScript;94.75%
Mr.-Ranedeer-AI-Tutor;694;19;3;0;N/A;72.34%
comprehensive-rust;794;2007;0;0;Rust;66.88%
particles.js;3822;21;6;0;JavaScript;26.04%
roop;636;82;6;0;Python;N/A
Hover;4069;23;10;0;SCSS;77.57%
servo;4763;18543;0;0;Rust;75.95%
apollo;3277;1421;41;0;Java;95.87%
tqdm;3552;287;131;0;Python;57.65%
GPTs;469;45;0;0;N/A;77.78%
standard;3679;412;7;0;JavaScript;90.99%
awesome-macos-command-line;3441;104;0;0;N/A;N/A
ruoyi-vue-pro;1490;55;34;0;Java;97.90%
es6features;4009;41;0;0;N/A;63.16%
algo;3205;530;2;0;Jinja;89.15%
rocksdb;4467;606;200;0;C++;79.02%
directus;4455;7728;327;0;TypeScript;94.15%
paper-reading;1219;14;0;0;N/A;N/A
awesome-python-cn;3399;51;0;0;Makefile;58.06%
cheerio;4885;2613;58;0;TypeScript;97.68%
COVID-19;1844;2152;0;0;N/A;55.31%
alpine;1913;655;136;0;HTML;99.84%
MonitorControl;2715;213;26;0;Swift;99.27%
pytorch-lightning;2155;8830;163;0;Python;87.97%
data-engineering-zoomcamp;1220;376;0;0;Jupyter Notebook;99.25%
folly;4648;12;228;0;C++;77.16%
swift-algorithm-club;3315;610;0;0;Swift;85.12%
weekly;2896;136;193;0;JavaScript;99.45%
CheatSheetSeries;2255;995;0;0;Python;91.06%
tiptap;2378;1031;850;0;TypeScript;82.08%
numpy;5275;12398;125;0;Python;84.70%
Data-Science-For-Beginners;1452;293;0;0;Jupyter Notebook;81.20%
k3s;2459;3740;830;0;Go;98.11%
composer;5008;2896;209;0;PHP;98.63%
canal;4423;463;32;0;Java;76.41%
django-rest-framework;5106;2976;19;0;Python;N/A
croc;2685;228;172;0;Go;98.65%
css-protips;3465;69;0;0;N/A;98.33%
docsify;3016;691;14;0;JavaScript;88.79%
surrealdb;1171;1813;66;0;Rust;65.29%
todomvc;5013;760;6;0;JavaScript;84.31%
lux;2555;296;86;0;Go;51.53%
lighthouse;3273;5312;116;0;JavaScript;93.93%
consul;4127;13520;199;0;Go;77.56%
mediapipe;2081;201;59;0;C++;92.93%
server;3187;25830;308;0;PHP;88.62%
python-guide;5093;683;0;0;Batchfile;65.43%
postcss;4168;745;265;0;TypeScript;97.62%
CasaOS;1245;267;96;0;Go;58.21%
SpringAll;2488;1;0;0;Java;56.25%
slick;3988;249;48;0;JavaScript;66.51%
k9s;2220;736;233;0;Go;71.27%
linkedin-skill-assessments-quizzes;2051;5638;1;0;N/A;90.67%
Hello-Python;934;0;0;0;Python;85.53%
react-spring;2544;429;50;0;TypeScript;91.72%
vuex;3509;656;51;0;JavaScript;92.17%
handson-ml2;2237;64;0;0;Jupyter Notebook;58.37%
machine-learning-for-software-engineers;3057;60;0;0;N/A;34.62%
llama3;344;24;0;0;Python;41.55%
android_guides;4266;10;0;0;N/A;57.78%
plyr;3661;384;88;0;JavaScript;58.12%
Clone-Wars;1543;130;0;0;N/A;86.42%
xxl-job;3374;109;36;0;Java;79.23%
Free-Certifications;1667;115;0;0;N/A;69.79%
spring-cloud-alibaba;2639;1063;47;0;Java;89.64%
UTM;2143;249;118;0;Swift;72.86%
react-three-fiber;2189;632;119;0;TypeScript;94.87%
async;5379;554;7;0;JavaScript;99.47%
puter;356;476;8;0;JavaScript;71.00%
ladybird;268;2612;0;0;C++;51.42%
JavaScript30;2999;153;0;0;HTML;N/A
the-super-tiny-compiler;3270;20;0;0;JavaScript;N/A
trilium;2832;250;297;0;JavaScript;74.71%
backbone;5259;880;0;0;JavaScript;98.34%
immer;2612;374;109;0;JavaScript;95.04%
tinygrad;1588;6094;11;0;Python;85.63%
druid;4860;1453;51;0;Java;50.78%
DevToys;1242;498;38;0;C#;74.41%
ChatGPT;812;294;277;0;Python;98.63%
fish-shell;4671;2006;45;0;Rust;94.23%
tuning_playbook;765;14;0;0;N/A;79.07%
cobalt;960;201;0;0;Svelte;81.81%
Complete-Python-3-Bootcamp;2567;12;0;0;Jupyter Notebook;61.77%
tokio;3087;3443;126;0;Rust;87.84%
nginxconfig.io;2605;191;0;0;JavaScript;77.31%
filebrowser;3451;526;62;0;Go;96.57%
stb;3926;285;0;0;C;80.82%
reverse-interview;1994;75;0;0;N/A;72.00%
data-science-ipython-notebooks;3683;31;0;0;Python;53.66%
viper;3979;487;32;0;Go;54.01%
os-tutorial;3799;11;0;0;C;59.09%
mantine;1507;1364;252;0;TypeScript;99.19%
react-select;3833;1051;59;0;TypeScript;90.02%
xstate;3449;1908;400;0;TypeScript;92.98%
cursor;713;46;0;0;N/A;43.77%
xyflow;2049;1249;294;0;TypeScript;94.87%
glances;4829;710;49;0;Python;91.01%
medusa;1862;6582;113;0;TypeScript;96.95%
waifu2x;3569;68;3;0;Lua;57.73%
Charts;3627;418;38;0;Swift;79.28%
mobx;3633;1143;112;0;TypeScript;97.40%
aider;655;184;81;0;Python;82.03%
GPT_API_free;671;1;0;0;Python;82.83%
applied-ml;1694;208;0;0;N/A;91.67%
restic;3954;2126;47;0;Go;86.61%
jan;555;1970;73;0;TypeScript;93.66%
90DaysOfDevOps;1154;357;2;0;Shell;89.89%
ink;2812;213;53;0;TypeScript;81.23%
DeepFaceLive;1530;13;35;0;Python;99.31%
diffusers;999;4343;81;0;Python;91.06%
vhr;2606;1;0;0;Java;37.80%
gitbook;3981;719;21;0;TypeScript;98.02%
hosts;4699;476;730;0;Python;96.14%
yapi;3190;141;1;0;JavaScript;37.65%
helm;3427;3851;204;0;Go;95.19%
CLIP;1529;28;0;0;Jupyter Notebook;45.87%
textual;1416;2022;166;0;Python;92.02%
Daily-Interview-Question;2226;15;0;0;JavaScript;53.21%
ResumeSample;3820;2;0;0;N/A;N/A
vnpy;3645;1043;62;0;Python;99.71%
python-fire;2922;118;11;0;Python;60.74%
motion;2290;971;0;0;TypeScript;85.85%
underscore;5599;746;0;0;JavaScript;97.89%
Python-programming-exercises;4636;0;0;0;N/A;20.00%
Xray-core;1566;851;78;0;Go;99.58%
aos;3516;38;0;0;JavaScript;51.43%
weui;3719;203;51;0;HTML;92.07%
Jobs_Applier_AI_Agent_AIHawk;202;185;0;0;Python;95.89%
mindsdb;2396;4798;283;0;Python;98.08%
TrackersListCollection;1969;5;0;0;N/A;N/A
Retrieval-based-Voice-Conversion-WebUI;698;477;7;0;Python;71.69%
dragonfly;1169;2741;91;0;C++;86.39%
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers;4422;243;0;0;Jupyter Notebook;36.73%
it-tools;1784;489;10;0;Vue;34.17%
ghostty;1061;1994;1;0;Zig;91.64%
dnSpy;3524;53;1;0;C#;N/A
awesome-sysadmin;3714;317;0;0;N/A;86.00%
AdGuardHome;3153;122;195;0;Go;81.60%
mongoose;5435;3250;176;0;JavaScript;98.02%
firecracker;2683;2918;75;0;Rust;95.81%
JCSprout;2624;69;0;0;Java;66.29%
Tvlist-awesome-m3u-m3u8;2926;1;0;0;N/A;67.14%
commander.js;4940;784;82;0;JavaScript;99.55%
turborepo;1236;5758;464;0;Rust;92.97%
Web;2972;0;0;0;N/A;71.70%
python-telegram-bot;3518;1527;121;0;Python;99.28%
tdesktop;3949;1629;770;0;C++;94.15%
crewAI;484;572;76;0;Python;90.13%
legacy-homebrew;5757;222;0;0;N/A;100.00%
swagger-ui;4970;3206;351;0;JavaScript;79.07%
codemirror5;5153;594;173;0;JavaScript;90.30%
redash;4135;3222;99;0;Python;76.56%
coder2gwy;1515;2;0;0;N/A;18.06%
wails;2260;1377;227;0;Go;86.92%
firecrawl;312;447;12;0;TypeScript;78.91%
ace;5232;1855;97;0;JavaScript;97.19%
rethinkdb;4498;460;72;0;C++;78.96%
Avalonia;4097;5098;98;0;C#;78.88%
kit;3672;479;13;0;Go;92.95%
angular-cli;3551;11062;795;0;TypeScript;98.23%
headlessui;1620;590;120;0;TypeScript;93.16%
mongo;5882;125;0;0;C++;N/A
rust-course;2391;749;0;0;Rust;71.84%
k6;3260;1921;68;0;Go;68.76%
Faker;4879;823;12;2;PHP;86.67%
vue-vben-admin;1687;1424;54;0;Vue;97.84%
anoma;1481;720;7;0;Elixir;81.82%
taichi;3012;5154;117;0;C++;69.66%
gitflow;5511;36;0;0;Shell;34.62%
hangzhou_house_knowledge;2555;6;0;0;CSS;33.11%
openssl;4420;144;274;0;C;84.22%
data-engineer-handbook;461;140;0;0;Jupyter Notebook;79.55%
fastai;2723;1683;55;0;Jupyter Notebook;88.21%
duckdb;2433;7120;46;0;C++;94.43%
xgboost;4034;4685;62;0;C++;93.02%
react-virtualized;3399;454;6;0;JavaScript;99.75%
so-vits-svc;715;153;0;0;Python;83.72%
Rectangle;2072;252;89;0;Swift;85.71%
vagrant;5511;2712;134;0;Ruby;92.93%
30-Days-Of-React;1607;10;0;0;JavaScript;23.68%
nodemon;5256;308;102;0;JavaScript;99.88%
cascadia-code;2053;84;20;0;Python;77.74%
drizzle-orm;1339;565;128;0;TypeScript;58.47%
vscodium;2385;486;212;0;Shell;91.38%
create-t3-app;1005;1087;135;0;TypeScript;91.64%
srs;3587;465;66;0;C++;86.17%
spleeter;1976;51;2;0;Python;71.56%
kitty;3051;1079;121;0;Python;99.76%
GoodbyeDPI;2839;24;30;0;C;81.56%
the_silver_searcher;4844;399;0;0;C;48.53%
khoj;1286;446;127;0;Python;86.85%
Detectron;2697;0;0;0;Python;66.95%
MinerU;359;596;91;0;Python;93.41%
quasar;3428;3633;989;0;JavaScript;93.54%
miaosha;2353;20;0;0;Java;97.56%
nprogress;4204;34;7;0;JavaScript;33.55%
ChatDev;544;110;9;0;Python;91.11%
cmder;4246;430;34;0;C++;97.63%
emscripten;5124;11565;0;0;C++;80.55%
awesome-electron;3593;268;0;0;N/A;95.45%
Signal-Android;4818;238;81;0;Kotlin;96.45%
jumpserver;3886;7013;240;0;Python;99.47%
nginx;3532;56;4;0;C;44.71%
fastText;3143;12;4;0;HTML;56.73%
ExplorerPatcher;1293;15;287;0;C;89.86%
lottie-ios;3060;719;69;0;Swift;98.13%
next-auth;2583;2177;1000;0;TypeScript;93.45%
darknet;3970;10;0;0;C;23.64%
awesome-vscode;3302;243;0;0;JavaScript;52.00%
hacker-laws;2585;180;1;0;Shell;33.81%
ItChat;3322;29;13;0;Python;68.84%
select2;4738;713;29;0;JavaScript;97.78%
go-patterns;3357;10;0;0;Go;43.33%
DeepSpeech;3187;1338;105;0;C++;94.03%
fonts;4448;75;1;0;Shell;38.74%
table;3047;960;267;0;TypeScript;92.06%
everyone-can-use-english;2171;455;46;0;TypeScript;86.05%
refined-github;3295;3315;166;0;TypeScript;97.36%
setup-ipsec-vpn;3334;44;0;0;Shell;100.00%
Telegram;4138;20;95;0;Java;N/A
fyne;2574;1872;49;0;Go;77.81%
awesome-datascience;3885;364;11;0;N/A;98.33%
fastjson;4860;418;84;1;Java;46.69%
fetch;3785;197;56;0;JavaScript;98.78%
iced;2048;978;17;0;Rust;74.50%
llm.c;320;310;0;0;Cuda;45.52%
awesome-actions;2320;445;0;0;N/A;65.85%
Modernizr;5629;811;27;0;JavaScript;88.56%
fe-interview;2138;8;2;0;JavaScript;0.43%
